para_id,source_doc_id,para_index,source_title,human_paragraph,ai_paragraph,generation_success
17579,1413,0,박중빈,"1891년 전라남도 영광군 길룡리에서 평범한 농민의 아들로 태어났다. 7세부터 자연현상과 인생에 대하여 특별한 의문을 품고, 20여 년간 구도고행을 계속하여 마침내 1916년 4월 28일, 큰 깨달음(大覺)을 이루었다고 하는데 이날이 바로 원불교의 개교일이다.","1891년 전라남도 영광군 길룡리에서 평범한 농가의 아들로 태어났고, 7세부터는 자연현상과 삶에 대한 특이한 의문을 품었습니다. 그는 약 20년간 구도고행을 지속한 뒤 1916년 4월 28일에 큰 깨달음(大覺)을 얻었다고 전해지며, 이 날이 바로 원불교의 개교일이다.",True
17580,1413,1,박중빈,"이후 박중빈은 '물질이 개벽되니 정신을 개벽하자'는 표어를 주창하며, 먼저 미신타파, 문맹퇴치, 저축조합 운동 등을 제시하며, '새회상 창립'의 경제적 기초를 세운 '2만 6천 여평'의 정관평 방언공사와 인류구원을 위한 '혈성(血誠)의 기도'로 '법계의 인증'을 받은 법인성사, 법신불 일원상을 '최고의 종지(宗旨)'로 삼아, 교리와 제도를 제정한 봉래제법 등을 하며 원불교를 창시했다. 교단의 중심지로 익산에 '총부'를 건설하였다.","이후 박중빈은 ‘물질이 개벽되니 정신을 개벽하자’는 구호를 내세우고, 미신 타파, 문맹 퇴치, 저축 조합 운동 등을 먼저 제시함으로써 ‘새회상 창립’의 경제적 기반을 마련하였다. 그는 2만 6천 여평 규모의 정관평 방언공사를 구축하고, 인류 구원을 위한 ‘혈성(血誠)의 기도’를 통해 ‘법계의 인증’받은 법인성사와 법신불 일원상을 최고의 종지(宗旨)로 삼아 교리와 제도를 정립한 봉래제법 등을 정리하며 원불교를 창시하였다. 교단의 중심지로 익산에 ‘총부’를 건설하였다.",True
17581,1413,2,박중빈,원불교 창시자이자 초대 종법사인 소태산은 길룡리 영촌마을의 평범한 농가에서 태어났지만 1916년 26세의 나이로 깨달음을 이룬 인물이다. 지금도 길룡리 주민들에게 소태산 대종사는 어려서부터 자연현상과 생로병사에 대해 의심이 많았던 범상치 않은 인물로 전해진다.,"원불교의 창시자이자 초대 종법사인 소태산은 길룡리 영촌마을의 평범한 농가에서 태어났으며, 1916년 26세에 깨달음을 이루었다. 지금도 길룡리 주민들에게 소태산 대종사는 어릴 적부터 자연현상과 생로병사에 대해 깊은 의문을 품었던 비범한 인물로 전해진다.",True
17582,1413,3,박중빈,"원불교 교전 중에 “만유가 한 체성이며 만법이 한 근원이로다. 이 가운데 생멸 없는 도와 인과 보응되는 이치가 서로 바탕하여 한 뚜렷한 기틀을 지었도다.”라고 대각의 기쁨을 표현했다는 기록이 나오는데 이때의 대각으로 “물질이 개벽되니 정신을 개벽하자”라는 표어를 내세우고 9인의 제자들과 함께 생활불교, 대중불교를 표방하며 창시한 게 바로 원불교가 되었다. 타종교를 배척하지 않는 교리가 특색이다.","원불교가 교전 단계에 들어섰을 때, “만유는 하나의 체성이고, 만법은 하나의 근원이다. 이 안에서 생멸을 초월한 도와 인과 보응의 이치가 서로 어우러져 뚜렷한 기틀을 마련한다”라는 대각의 기쁨을 드러냈다는 기록이 전해진다. 이때 대각은 “물질이 개벽되니 정신도 함께 개벽하자”는 구호를 내걸고, 9인의 제자와 함께 생활불교와 대중불교를 표방하며 원불교를 창시하였다. 타 종교를 배척하지 않는 교리가 특징이다.",True
17583,1413,4,박중빈,특히 소태산 대종사는 스스로 깨닫고 나서 비로소 기존 종교들에 대한 궁금증이 생겨 살펴본 결과 불교가 자신의 깨달음에 가장 가까웠다며 주변에 『금강경』을 읽을 것을 권했다고 한다. 원불교를 불교의 한 갈래로 봐야 하는지에 대해서는 내부 구성원 사이에서도 생각이 다르다. 그래서 불교계에서는 “원불교는 석가모니 부처를 믿지 않는다. 원불교 교도 스스로가 원불교는 불교가 아니라고 말한다”고 오해하기도 한다.,"특히 소태산 대종사는 스스로 깨달음을 얻은 뒤 비로소 기존 종교들에 대한 호기심이 생겨 조사한 결과, 불교가 자신의 깨달음과 가장 근접한 체계를 제공한다는 판단 아래 주변인에게 『금강경』을 읽어볼 것을 권유했다고 한다. 원불교를 불교의 한 갈래로 규정해야 하는가에 대해서는 내부 구성원 사이에서도 의견이 상이하다. 이에 따라 불교계에서는 “원불교는 석가모니 부처를 신봉하지 않는다. 원불교 교도들 스스로도 원불교는 불교가 아니라고 주장한다”는 식으로 오해가 발생하기도 한다.",True
17584,1413,5,박중빈,"하지만 원불교 지도부의 생각은 다르다. “소태산 대종사를 교조로 존경하는 것이지 신앙의 대상은 아니다”라는 것이다. 한국형 개혁 불교라는 얘기다. 생활불교, 재가불교라는 설명이다. 원불교에서는 성직자를 교무라고 부른다. 하지만 최고 의결기구인 수위단회에 재가 교도를 일정 비율 참석시킬 만큼 권한이 분산되어 있다.","하지만 원불교 지도부는 다른 입장을 제시한다. “소태산 대종사는 교조로서 존경받아야 할 존재이며, 신앙의 대상이 아니다”는 입장이다. 이것은 한국식 개혁 불교라는 평가와도 연결된다. 즉, 생활불교이자 재가불교라는 설명이 붙는다. 원불교에서 성직자는 ‘교무’라는 칭호로 불린다. 그러나 최고 의결기관인 수위단회에는 재가 교도들이 일정 비율 이상 참여할 수 있도록 권한이 분산되어 있다.",True
17585,1413,6,박중빈,"영육쌍전(靈肉雙全)이라는 교리에 따라 마음 공부 이외에 물질적 토대를 닦는 일도 교단 차원에서 장려한다. 세상 모든 종교의 진리는 한 가지라는 동원도리(同源道理) 교리에 따라 종교 간 평화, 해외 교화에 힘쓴다. 일체의 불상은 오해를 부른다며 불법 자체를 상징하여 큰 원을 그려놓은 일원상을 모신다.","영육쌍전(靈肉雙全) 교리를 기준으로 마음 수양 이외에 물질적 토대를 다지는 일도 교단 차원에서 적극 장려한다. 세상 모든 종교가 궁극적으로 하나의 진리를 공유한다는 동원도리(同源道理) 교리를 바탕으로 종교 간 평화와 해외 교화에 힘쓴다. 일체의 불상이 오해를 불러일으킬 수 있다는 판단 아래, 불법 자체를 상징하는 큰 원을 그려 놓은 일원상을 모신다.",True
17586,1413,7,박중빈,"기본 교리를 밝힌 『정전』, 소태산 대종사의 어록인 『대종경』, 『금강경』 등을 소의경전(所依經典)으로 한다. 소의경전은 소의본경(所依本經)이라고도 하는데 각 종파에서 근본경전으로 하여 깨달음에 의지한다는 경전을 말한다. 불교에만 있는 개념이다.","‘정전’은 기본 교리를 명확히 제시하고, 소태산 대종사의 어록인 ‘대종경’과 ‘금강경’ 등이 소의경전(所依經典)으로 지정된다. 소의경전은 소의본경(所依本經)이라고도 불리며, 각 종파가 근본경전으로 삼아 깨달음의 토대로 삼는 경전을 의미한다. 이는 불교 전유의 개념이다.",True
50064,4009,0,KBS 뉴스 9,본 방송 시간은 2000년 이후 KBS 스포츠 9 방송 시간을 포함하고 있다. (해당 방송시간 참조),본 방송 시간은 2000년 이후 KBS 스포츠 9가 제공하는 모든 방송 시간을 포함하고 있다. (해당 방송시간 참조),True
50065,4009,1,KBS 뉴스 9,"평일의 경우, 방송 시간은 2019년 4월 15일 방송분 이후를 기준으로 한다. 평일의 경우 1990년대 ~ 2001년 말 까지에는 헤당 방송일의 뉴스가 끝난 후 평일 해당 방송일의 KBS 뉴스 네트워크 다음 뉴스의 예고 및 헤드라인으로 예고했다. 평일의 경우 공휴일 및 특집 프로그램이 편성될 경우 편성 변경되며, 긴급 뉴스와 특집 뉴스가 편성되어 KBS 뉴스특보로 방송되기 직전 및 방송된 직후 에 특집으로 편성된다.","평일에는 방송 시간을 2019년 4월 15일 이후 편성된 프로그램을 기준으로 정의한다.  
1990년대부터 2001년 말까지는 해당 평일 방송이 종료된 뒤, KBS 뉴스 네트워크의 다음 보도를 예고 및 헤드라인으로 예고했다.  
공휴일이나 특집 프로그램이 삽입되는 경우 편성이 변경되며, 긴급·특집 뉴스는 KBS 뉴스특보 직전 및 직후에 별도 특집으로 편성된다.",True
